category,description,image_urls,name,sku
Spirulina,"Kosher
Certified Vegan
Certified Gluten-Free
100% Vegan
Dietary Supplement
3,000 mg Per Serving
3-A-Day Formula
Non-GMO Project Verified
Hawaiian Spirulina Pacifica is a wholesome nutrition  supplement that nourishes the body and supports a healthy lifestyle. Spirulina  strengthens the immune system and supports cardiovascular health. Our spirulina  is grown on the sunny coast of Kona, Hawaii in fresh Hawaiian aquifer water  without using pesticides or herbicides. Our ocean chill drying technology  ensures maximum nutrient levels. For over 30 years, our unique farm to bottle  process and rigorous quality produces pure, high quality spirulina from a  source you can trust. Free of gluten, lactose, soy, corn, wheat and yeast.","https://s3.images-iherb.com/nhi/nhi01006/t/7.jpg,https://s3.images-iherb.com/nhi/nhi01006/t/8.jpg,https://s3.images-iherb.com/nhi/nhi01006/t/9.jpg","Nutrex Hawaii, Pure Hawaiian Spirulina, 3,000 mg, 180 Tablets",NHI-01006
Chlorella,"Green Superfood
Naturally Occurring Chlorophyll & Beta-Carotene
Broken Cell Wall Algae
USDA Organic
Vegetarian - Vegan
Non-GMO
Botanicals/Herbs
Family Owned Since 1968
GMP Quality Assured
Certified Organic by QAI
NOW Chlorella delivers the natural nutrient profile found in Genuine Whole Foods.","https://s3.images-iherb.com/now/now02631/t/6.jpg,https://s3.images-iherb.com/now/now02631/t/7.jpg,https://s3.images-iherb.com/now/now02631/t/8.jpg","Now Foods, Certified Organic Chlorella, 500 mg, 200 Tablets",NOW-02631
Algae,"USDA Organic
Wild Nutrient Dense Supplement
Certified Organic by Oregon Tilth
True Green Superfood
Blue Green Algae is one of the most nutrient dense foods on  the planet. This nutrition packed concentrated food is a fast, efficient and  energizing way to improve your health.","https://s3.images-iherb.com/kla/kla00005/t/5.jpg,https://s3.images-iherb.com/kla/kla00005/t/6.jpg","Klamath, Power Organics, Algae Superfood Klamath Blue Green, 2.8 oz (80 g)",KLA-00005
Spirulina," 
Sourced from India, Manufactured in the USA
USP Verified, USDA Organic, Certified by A Bee Organic
Cultivated by Industry Leader Parry Nutraceuticals
Contains Protein, Phycocyanin, Chlorophyll & Carotenoids*
Green, Mild Grassy Flavor
8.5 oz (240 g) Powder
Produced in a 3rd Party Audited cGMP Registered (Certified) Facility
Formulated to Contain: No Gluten – No GMOs – No Soy
100% Gold Guarantee
Spirulina (Arthrospira platensis) is a blue-green algae which contains naturally occurring nutrients such as protein, phycocyanin, chlorophyll and carotenoids.  This superfood is one of the most nutritious and concentrated food sources in the world.","https://s3.images-iherb.com/cgn/cgn01224/t/0.jpg,https://s3.images-iherb.com/cgn/cgn01224/t/1.jpg","California Gold Nutrition, Superfoods, Organic Spirulina Powder, 8.5 oz (240 g)",CGN-01224
Chlorella,"Dietary Supplement
Non GMO Validated
Source Naturals Yaeyama Chlorella is 100% freshwater chlorella, grown on the coral reef island of Ishigaki, Japan. Chlorella is a green superfood of pure algae that is a rare vegetarian source of true vitamin B-12. It is also a good source of iron and vitamin A and a complete vegetarian protein. Chlorella gets its green color from the plant pigment, chlorophyll. Our non-GMO chlorella is made from 100% chlorella and is free of binders, fillers or excipients. Preliminary evidence, including some human research, suggests that chlorella may help support the health of the liver and the immune system. ","https://s3.images-iherb.com/sns/sns01454/t/5.jpg,https://s3.images-iherb.com/sns/sns01454/t/6.jpg,https://s3.images-iherb.com/sns/sns01454/t/7.jpg","Source Naturals, Yaeyama Chlorella, 200 mg, 600 Tablets",SNS-01454
Chlorella,"100% Vegan
No Preservatives
No Additives
No Added Fillers
Green Superfood
Non GMO Project Verified
Vegan
RAW
 - Blood
 - Muscle Repair & Growth
 - Eyes & Skin
 - Maintenance & Repair
Chlorella is an incredible, multi-faceted superfood that contains over 60% protein and boasts an array of nutrients including vitamins, minerals and enzymes. A microscopic single-celled plant that grows in fresh water, chlorella's abundance of chlorophyll gives it a deep, emerald-green color. A potent superfood, chlorella is a great way to introduce detoxifying alkalizing foods into your diet.","https://s3.images-iherb.com/sfd/sfd01064/t/3.jpg,https://s3.images-iherb.com/sfd/sfd01064/t/4.jpg","Sunfood, Nutrient-Rich Chlorella Tablets, 250 mg, 900 Tablets, 8 oz (227 g)",SFD-01064
Spirulina,"Dietary Supplement
For over 30 years spirulina (Arthrospira platensis) has been the premier choice for supplementing a vegetarian diet. Source Naturals Spirulina is of the highest quality available. This special blue-green algae is a good source of numerous vitamins, minerals, carotenoids, and essential fatty acids that are hard to maintain at adequate levels with a vegetarian diet. Most notable is the high quality protein, which contains all nine essential amino acids. Spirulina's cell walls do not contain cellulose to slow down digestion. Source Naturals Spirulina is naturally grown and harvested without herbicides or pesticides.","https://s3.images-iherb.com/sns/sns00639/t/1.jpg,https://s3.images-iherb.com/sns/sns00639/t/2.jpg","Source Naturals, Spirulina, 500 mg, 500 Tablets",SNS-00639
Algae,"Non-GMO
100% Vegan
Dietary Supplement
Rhodymenia Palmata
375 mg Per Capsule
Whole Algae
Lab Verified
 Red Marine Algae, also known as Dulse, is a type of seaweed that has been used as a food staple for thousands of years. Often referred to as a sea vegetable, research  suggested that the sulfated polysaccharides in Red Marine Algae may provide nutritive support for immune health.","https://s3.images-iherb.com/sor/sor01481/t/13.jpg,https://s3.images-iherb.com/sor/sor01481/t/14.jpg","Solaray, Red Marine Algae, 375 mg, 100 VegCaps",SOR-01481
Chlorella,"Nature's Perfect Superfood 
Chlorella Supplement 
The Only Chlorella Pulverized by DYNO- Mill 
Non GMO Project Verified 
Certified Gluten-Free 
Excellent Source of Active B12 
For over 45 years, our commitment to quality and purity has secured Sun Chlorella Corp. as a worldwide industry leader of chlorella. ","https://s3.images-iherb.com/scc/scc01111/t/2.jpg,https://s3.images-iherb.com/scc/scc01111/t/3.jpg","Sun Chlorella, A, 200 mg, 300 Tablets",SCC-01111
Spirulina,"Various Blue/Green Algae
Kosher 
Non-Irradiated
Herbal Supplement
Our spirulina is cultivated in man made ponds where it is constantly monitored   to ensure it's purity and that it is free from heavy metal and chemical   contamination.","https://s3.images-iherb.com/fro/fro02214/t/4.jpg,https://s3.images-iherb.com/fro/fro02214/t/5.jpg","Frontier Natural Products, Powdered Spirulina, 16 oz (453 g)",FRO-02214
Algae,"Freeze Dried
From Klamath Lake
Dietary Supplement
500 mg
Source Naturals Blue-Green Algae is wildcrafted and harvested in the prime upper regions of Upper Klamath Lake, Oregon, and is of the highest quality available. Its name comes from the two color pigments it contains, phycocyanin, which is blue, and chlorophyll, which is green. Blue-Green Algae also contains significant levels of vitamins, minerals and rich pigment nutrients.",,"Source Naturals, Blue-Green Algae, 200 Tablets",SNS-00173
Chlorella,"Vegan
Gluten-Free
Detoxifying & Alkalizing Green Superfood
Non GMO Project Verified
 Chlorella is an incredible, multi-faceted superfood that is 66% protein by weight and contains all nine essential amino acids. It also boasts an array of beneficial nutrients including vitamin A, iron, zinc and B vitamins. Grown in fresh water, chlorella is a microscopic, single-celled plant with an abundance of chlorophyll, giving our tablets a deep, emerald-green color. As a protein superfood, chlorella helps to detoxify, alkalize, and nourish your body on a cellular level.","https://s3.images-iherb.com/sfd/sfd01063/t/3.jpg,https://s3.images-iherb.com/sfd/sfd01063/t/4.jpg","Sunfood, Broken Cell Wall Chlorella Tablets, 250 mg, 456 Tablets, 4 oz (113 g)",SFD-01063
Chlorella,"Cleanse
With High Chlorophyll 
Dietary Supplement 
Gluten Free 
Non-GMO 
Radiation Free 
100% Pure 
Kosher 
Pure  Planet's Premium Cracked Cell Chlorella is the finest chlorella available in  the world. This amazing single-celled organism is nature's richest source of  cleansing chlorophyll and cell building RNA. Our easily-digestible tablets are  great additions to any cleansing regimen. ","https://s3.images-iherb.com/obn/obn88501/t/6.jpg,https://s3.images-iherb.com/obn/obn88501/t/7.jpg","Pure Planet, Premium Cracked Cell Chlorella, 200 mg, 600 Tablets",OBN-88501
Algae,"Joint Health
Calcium, Magnesium and Trace Minerals Derived from Red Marine Algae
Aquamin
A Dietary Supplement
Vegetarian/Vegan
Non-GMO
Minerals
Family Owned Since 1968
GMP Quality Assured
Red Algae Calcium Powder features Aquamin, a bioavailable, multi-mineral complex from marine red algae. Aquamin is an excellent source of calcium, a good source of magnesium, and has more than 70 additional trace minerals. Research indicates that it may support proper bone mineralization, and may regulate key factors involved in the normal immune response to typical, everyday joint usage. In clinical studies Aquamin is shown to help support joint comfort and mobility.","https://s3.images-iherb.com/now/now01261/t/0.jpg,https://s3.images-iherb.com/now/now01261/t/1.jpg","Now Foods, Red Algae Calcium Powder, 8 oz (227 g)",NOW-01261
Kelp,"Sun Food Energy
Laminaria Digitata
Thyroid Health
1 Daily
Dietary Supplement
Quality You Can Trust
 Kelp is a good source of the essential mineral iodine, which is important in providing nutritive support for healthy thyroid function.","https://s3.images-iherb.com/nli/nli00230/t/0.jpg,https://s3.images-iherb.com/nli/nli00230/t/1.jpg","Nature's Life, Icelandic Kelp, 250 Tablets",NLI-00230
Amla,"An Ancient Ayurvedic Herb
With Tannins & Antioxidants
Gluten Free
Dietary Supplement
USDA Organic
Non GMO - Vegan
Amla Plus is Certified  Organic by QAI
Kosher
Amla is the most revered herb in ancient Ayurvedic remedy. It is a naturally bitter, whole food source of true vitamin C and tannins. Pure Planet selects only the finest Amalaki fruit and delivers it in our proprietary blend for nutritional balance and effect.","https://s3.images-iherb.com/obn/obn88400/t/8.jpg,https://s3.images-iherb.com/obn/obn88400/t/9.jpg","Pure Planet, Organic Amla Plus, 500 mg, 100 Tablets",OBN-88400
Chlorella,"Resealable Pouch
Broken Cell Wall
Dietary Supplement
Yaeyama Chlorella is 100% fresh-water chlorella, grown on the coral reef island of Ishigaki, Japan. Chlorella is a green superfood of pure algae in which the cell walls have been broken to increase digestibility and nutrient availability. It is a rare vegetarian source of true vitamin B-12 and a complete vegetarian protein. Chlorella gets its green color from the plant pigment, chlorophyll. Our non-GMO chlorella is made from 100% organic, broken cell wall chlorella and is free of binders, fillers or excipients. Preliminary evidence, including some human research, suggests that chlorella may help support the health of the liver and the immune system. ","https://s3.images-iherb.com/sns/sns01929/t/3.jpg,https://s3.images-iherb.com/sns/sns01929/t/4.jpg","Source Naturals, Yaeyama Chlorella, 200 mg, 300 Tablets",SNS-01929
Spirulina,"USDA Organic
Various Blue/Green Algae
Herbal Supplement
Non-Irradiated
Kosher
Certified Organic by QAI
Our spirulina is cultivated in man made ponds where it is constantly monitored to ensure it's purity and that it is free from heavy metal and chemical   contamination.","https://s3.images-iherb.com/fro/fro02701/t/4.jpg,https://s3.images-iherb.com/fro/fro02701/t/5.jpg","Frontier Natural Products, Organic Powdered Spirulina, 16 oz (453 g)",FRO-02701
Chlorella,"Vegan
Gluten-Free
Detoxifying & Alkalizing Green Superfood
Non GMO Project Verified
 Chlorella is an incredible, multi-faceted superfood that is 66% protein by weight and contains all nine essential amino acids. It also boasts an array of beneficial nutrients including vitamin A, iron, zinc and B vitamins.","https://s3.images-iherb.com/sfd/sfd01062/t/9.jpg,https://s3.images-iherb.com/sfd/sfd01062/t/10.jpg","Sunfood, Broken Cell Wall Chlorella Tablets, 250 mg, 228 Tablets, 2 oz (57 g)",SFD-01062
Spirulina,"100% Vegetarian
Green Superfood for Longevity
California Grown
Dietary Supplement
Kosher
Antioxidant protection
Cardiovascular health
Eye & brain health
Immune defense
Anti-aging benefits
Cellular health
Earthrise Spirulina Natural","https://s3.images-iherb.com/etr/etr45000/t/2.jpg,https://s3.images-iherb.com/etr/etr45000/t/3.jpg","Earthrise, Spirulina Natural Powder, 16 oz (454 g)",ETR-45000
Algae,"Concentrated Marine Phytonutrients
Supports Cellular Health
Promotes Energy and Vitality
Excellent source of Micro-nutrients
Dietary Supplement
Alpha3 CMP
Our cells require essential nutrients in order to communicate & guard against diseases and toxins. Modern diets have become increasingly processed & sparse in these essential nutrients causing an increase in chronic illness.","https://s3.images-iherb.com/uma/uma00106/t/1.jpg,https://s3.images-iherb.com/uma/uma00106/t/2.jpg","Umac-Core, Marine Phytoplankton, 2 oz (57 ml)",UMA-00106
Algae,"From Klamath Lake
Freeze-Dried
Dietary Supplement  
Source Naturals Blue-Green Algae is wildcrafted and harvested in the prime upper regions of Upper Klamath Lake, Oregon, and is of the highest quality available.  Its name comes from the two color pigments it contains; phycocyanin, which is blue, and chlorophyll, which is green.  Blue-Green Algae also contains significant levels of vitamins, minerals, and rich pigment nutrients and is an excellent non animal source of protein and amino acids.",,"Source Naturals, Blue-Green Algae Powder, 4 oz (113.4 g)",SNS-00175
Chlorella,"Nature's Richest Source of Nutrient-Dense Chlorophyll
100% Organic & Pure - No Binders, Additives or Fillers
Nutrient-Rich Superfoods - Natural, Energizing, Nourishing
Broken Cell Wall for Optimum Absorption
Nourish - Energize - Rejuvenate - Detoxify
USDA Organic
Non GMO - Certified Organic
Natural Vegan Product
Raw
Gluten Free
Soy Free
Kosher
Certified Organic by QAI
Natural source of chlorophyll, protein, antioxidants, essential fatty acids, vitamins, minerals, & Chlorella Growth Factor.
Boosts energy levels & supports a healthy immune system.
Protects against free radical damage & premature aging.
Stimulates cellular repair & regeneration
Assists in eliminating toxins, heavy metals and radiation.
Helps alleviate digestive & inflammatory conditions.
One of the original ""whole food"" supplements, Chlorella is known for its nutritive and restorative properties. Our special low-light, low-temperature method of breaking the cell wall delivers maximum nutrient availability.",,"Green Foods Corporation, Organic Chlorella Powder, 2.1 oz (60 g)",GFC-20418
Spirulina,"Premium Supplements
Made With Organic Spirulina
Dietary Supplement
Certified Organic by QCS
Dr. Mercola has been providing quality products since 2001.","https://s3.images-iherb.com/mcl/mcl01309/t/5.jpg,https://s3.images-iherb.com/mcl/mcl01309/t/6.jpg","Dr. Mercola, Spiru-Blue, with Antioxidant Coating, 120 Tablets",MCL-01309
Chlorella,"Dietary Supplement
Green Superfood
Source Naturals Chlorella is a complete protein as well as a rare vegan source of vitamin B-12 made from pure, 100% algae. It is also a good source of iron and vitamin A. Research suggests that chlorella may also help support the health of the liver and the immune system. Source Naturals Chlorella is non-GMO, and does not contain any animal products or animal-derived ingredients.","https://s3.images-iherb.com/sns/sns00676/t/4.jpg,https://s3.images-iherb.com/sns/sns00676/t/5.jpg,https://s3.images-iherb.com/sns/sns00676/t/6.jpg","Source Naturals, Chlorella, 500 mg, 200 Tablets",SNS-00676
Algae,"Pure Synergy Organics
Pure Klamath Crystals
Fresh
Pure
Simple
Made with Organic Algae
Dietary Supplement
Organically Grown and Cold-Pressed in the USA
Oregon Tilth Certified Organic
Kosher
Vacuum-Sealed Amber Glass
Gluten-Free
No Fillers
Non-GMO
Cold-Processed
Our formula is made with organic blue-green algae that comes  exclusively from the pristine waters of Upper Klamath Lake in Oregon. It is  harvested at the peak of its vibrant bloom when its nutritional and  life-enhancing qualities are at their most potent. Upon harvest, our algae is  triple-filtered using a proprietary system that guarantees its purity. It is  then carefully chilled and dried at a low temperature, preserving all of its  vital elements and radiant life energy. Experience for yourself the health  benefits of this deeply nourishing, restorative superfood.","https://s3.images-iherb.com/syn/syn00425/t/1.jpg,https://s3.images-iherb.com/syn/syn00425/t/2.jpg","The Synergy Company, Organic Blue-Green Algae, 90 Veggie Caps",SYN-00425
Spirulina,"Higher Phycocyanin, Zinc & Natural Vitamin C
Supports Athletic Stamina & Endurance
California Grown
Dietary Supplement
For Enhanced Antioxidant Protection, Brain & Eye Health, Cardiovascular Health & Immune Function
Non-GMO Project Verified
Kosher
This proprietary and advanced form of Spirulina is high in Phycocyanin, natural Vitamin C and Zinc.","https://s3.images-iherb.com/etr/etr84628/t/8.jpg,https://s3.images-iherb.com/etr/etr84628/t/9.jpg","Earthrise, Spirulina Gold Plus, 500 mg, 180 Tablets",ETR-84628
Spirulina,"Dietary Supplement
For over 30 years spirulina (Arthrospira  platensis) has been the premier choice for supplementing a vegetarian diet. Source Naturals Spirulina is of the highest quality available. This special blue-green algae is a good source of numerous vitamins, minerals, carotenoids, and essential fatty acids that are hard to maintain at adequate levels with a vegetarian diet. Most notable is the high quality protein, which contains all nine essential amino acids. Spirulina's cell walls do not contain cellulose to slow down digestion. Source Naturals Spirulina is naturally grown and harvested without herbicides or pesticides.","https://s3.images-iherb.com/sns/sns00638/t/1.jpg,https://s3.images-iherb.com/sns/sns00638/t/2.jpg","Source Naturals, Spirulina, 500 mg, 200 Tablets",SNS-00638
Chlorella,"Source Naturals Yaeyama Chlorella is 100% freshwater  chlorella, grown on the coral reef island of Ishigaki, Japan. Chlorella is a  green superfood of pure algae that is a rare vegetarian source of true vitamin  B-12. It is also a good source of iron and vitamin A and a complete vegetarian  protein. Chlorella gets its green color from the plant pigment, chlorophyll.  Our non-GMO chlorella is made from 100% chlorella and is free of binders,  fillers or excipients. Preliminary evidence, including some human research,  suggests that chlorella may help support the health of the liver and the immune  system.","https://s3.images-iherb.com/sns/sns01528/t/7.jpg,https://s3.images-iherb.com/sns/sns01528/t/8.jpg","Source Naturals, Yaeyama Chlorella, 8 oz (226.8 g)",SNS-01528
Algae,"This micro-nutrient dense algae is comprised mostly of a unique form of glycoprotein. It contains all of the essential amino acids, plus chlorophyll, Beta carotene, minerals, and antioxidants, to support mental and physical health.","https://s3.images-iherb.com/kla/kla40002/t/5.jpg,https://s3.images-iherb.com/kla/kla40002/t/6.jpg","Klamath, Power Organics, Algae Superfood, Klamath Blue Green, 130 Capsules",KLA-40002
Algae,"Concentrated Marine Phytonutrients
Supports Cellular Health
Promotes Energy & Vitality
Excellent Source of Micro-Nutrients
Dietary Supplement
UMAC  is a proprietary blend comprised on multiple species of microalgae,  wild-crafted by the pristine coastal waters of the northeast Pacific Ocean. Among the nutrients found in these superfoods are: Vitamin A, bio-available proteins,  all 22 amino acids, enzymes, Vitamin B complex, minerals, trace minerals,  fucoxanthan, folic acid, selenium, zinc, potassium, calcium and more... This remarkable blend is unrivaled by any other single form of food, plant, algae,  grain or herb.","https://s3.images-iherb.com/uma/uma00102/t/3.jpg,https://s3.images-iherb.com/uma/uma00102/t/4.jpg","Umac-Core, Marine Phytoplankton, 90 Veggie Caps",UMA-00102
Spirulina,"Organically Grown Superfood
Green Dietary Supplement
: Sunny Green Spirulina is organically grown. It is a phytonutrient-rich blue-green algae that contains naturally-occurring vitamins, minerals, amino acids and essential fatty acids. Spirulina has numerous health benefits and is intended to provide nutritive support for normal, healthy digestion while gently supporting the body.","https://s3.images-iherb.com/sng/sng50007/t/10.jpg,https://s3.images-iherb.com/sng/sng50007/t/11.jpg","Sunny Green, Spirulina, 120 Tablets",SNG-50007
Chlorella,"Broken Cell Wall Chlorella
Vegan - Earth, Health, Compassion
TruGanic
Kosher Pareve
Supports cellular repair.
Supports cellular detoxification.
Promotes optimal immune function.
Supports growth of beneficial intestinal bacteria.
Supports free radical neutralization.
Supports oxygen utilization efficiency in cells and thus may improve exercise performance and stamina.
Magnetic
Vibrational
Source of full-spectrum, non-toxic, absorbable nutrients and compounds, including 50-60% protein.","https://s3.images-iherb.com/hfc/hfc00073/t/9.jpg,https://s3.images-iherb.com/hfc/hfc00073/t/10.jpg,https://s3.images-iherb.com/hfc/hfc00073/t/11.jpg","HealthForce Superfoods, Chlorella Manna, 400 VeganTabs",HFC-00073
Chlorella,"Dietary Supplement 
USDA Organic 
Certified Organic by CCOF 
Contains 55 Servings 
In Joy! 
10% Chlorophyll
50% Protein
Essential Fatty Acids
Chlorella Growth Factor & may support gentle detoxification of heavy metals. 
As a building block of the freshwater food chain, this algae contains: ","https://s3.images-iherb.com/snn/snn34250/t/1.jpg,https://s3.images-iherb.com/snn/snn34250/t/2.jpg","Sun Potion, Chlorella Algae Powder, Organic, Sound Processed, 3.9 oz (111 g)",SNN-34250
Chlorella,"Cell Growth & Metabolic Support Formula
Green Dietary Supplement
Suitable For Vegetarians
Sunny Green Broken Cell Chlorella is a microscopic green freshwater plant that has a unique concentrated supply of naturally-occurring vitamins, minerals and proteins. Chlorella contains a high quality form of chlorophyll that is intended to provide nutritive support for the healthy function of the bowels and liver and for normal cellular growth and metabolic balance.","https://s3.images-iherb.com/sng/sng36254/t/0.jpg,https://s3.images-iherb.com/sng/sng36254/t/1.jpg","Sunny Green, Broken Cell Wall Chlorella, 7.14 oz (200 g)",SNG-36254
Chlorella,"Broken Cell Wall Chlorella
Vegan - Earth, Health, Compassion
TruGanic
Kosher Pareve
Supports cellular repair.
Supports cellular detoxification.
Promotes optimal immune function.
Supports growth of beneficial intestinal bacteria.
Supports free radical neutralization.
Supports oxygen utilization efficiency in cells and thus may improve exercise performance and stamina.
Magnetic
Vibrational
Source of full-spectrum, non-toxic, absorbable nutrients and compounds, including 50-60% protein.","https://s3.images-iherb.com/hfc/hfc00065/t/5.jpg,https://s3.images-iherb.com/hfc/hfc00065/t/6.jpg,https://s3.images-iherb.com/hfc/hfc00065/t/7.jpg","HealthForce Superfoods, Chlorella Manna, 1200 VeganTabs",HFC-00065
Chlorella,"Were Science Works Naturally 
Broken Cell Wall
Dietary Supplement
Naturally Fresh Nitro Pack
Bacteria Free Environment - Bacteria Free Environment
Made without Gluten and GMO's 
NutriBiotic Chlorella is aqua-cultivated to be the cleanest and purest microalgae product available. This ancient single-celled super green plant is grown under the strictest, controlled conditions without the use of herbicides, pesticides or toxic chemicals.","https://s3.images-iherb.com/nbc/nbc00090/t/10.jpg,https://s3.images-iherb.com/nbc/nbc00090/t/11.jpg","NutriBiotic, Chlorella Microalgae, 500 mg, 150 Vegan Tablets",NBC-00090
